district_id,state_name,district_name,z_stunting_pct,z_wasting_pct,z_underweight_pct,z_anaemia_children_u5_pct,malnutrition_index_pc1,z_malnutrition_index_pc1
1,Andaman And Nicobar Islands,Nicobars,-1.4071621506562346,-0.4444063295733072,-0.5105858889073398,-2.3430793699725223,-2.142136192358939,-1.3849511876744791
2,Andaman And Nicobar Islands,North And Middle Andaman,-0.7698655540473782,1.2896240966683894,1.36397638433601,-2.9496609128364266,-0.09215865663865236,-0.05958315882130404
3,Andaman And Nicobar Islands,South Andamans,-1.4661710947866844,-0.9201137916396133,-1.2521709640365775,-1.869447206366461,-2.6645931982393667,-1.7227343096738985
4,Andhra Pradesh,Ananthapuramu,0.2922954403007161,0.10802814250369366,1.137380944713188,-0.8390895171181858,0.553292310330594,0.3577190120109382
5,Andhra Pradesh,Chittoor,-0.7580637652212882,-0.5825149475925572,-0.17069272947310624,-0.9138735429507219,-1.1177087898234737,-0.7226301116903237
6,Andhra Pradesh,East Godavari,-1.2301353182648855,-0.6592419576032517,-0.7371813285301626,0.0749374652794776,-1.3352484021271915,-0.8632755783515754
7,Andhra Pradesh,Guntur,-1.147522796482256,-0.12215288752838994,-0.2736906565743892,-0.5482627499916566,-1.0007837478115258,-0.6470347894223166
8,Andhra Pradesh,Krishna,-0.4394154669168599,-0.6592419576032517,-0.8710786337618301,-0.016465232960288272,-1.0699494567356844,-0.6917523620316355
9,Andhra Pradesh,Kurnool,2.0035548200837567,-0.29095230955191814,1.7244691291905003,0.4073109134240825,2.0442748394747037,1.3216810756302946
10,Andhra Pradesh,Prakasam,-1.2891442623953353,-1.5185844697230306,-0.5002860961972116,-0.2740546552723572,-1.7745140377805564,-1.1472731439464967
11,Andhra Pradesh,Sri Potti Sriramulu Nellore,-0.5102261998733997,-0.2142252995412236,-0.1809925221832343,0.1331028187047837,-0.4084331240455359,-0.26406348123438095
12,Andhra Pradesh,Srikakulam,-1.6313961383519437,0.13871894650797137,-0.8401792556314456,-0.5233347413808108,-1.4445614288414759,-0.9339495190264326
13,Andhra Pradesh,Visakhapatnam,-0.29779400100378073,0.4456269865507495,0.4060956622940786,0.5568789650891545,0.540855565869845,0.3496783075621931
14,Andhra Pradesh,Vizianagaram,0.3395025956050757,0.09268274050155453,0.272198357062411,0.06662812907586295,0.4019938769525435,0.25990032721038364
15,Andhra Pradesh,West Godavari,-0.2505868456994212,-1.0582224096588635,-0.7268815358200341,-0.2989826638832029,-1.196200583429229,-0.7733772598710758
16,Andhra Pradesh,Y.S.R.,0.10346681908327693,-0.6899327616075297,-0.2942902419946457,-0.4402413793446596,-0.6387190886852101,-0.4129498225277728
17,Arunachal Pradesh,Anjaw,-1.171126374134436,-0.6592419576032517,-1.3963680619783736,-0.7310681464711889,-2.029675600273,-1.3122422576206527
18,Arunachal Pradesh,Changlang,-0.8524780758300077,-0.35233391756047355,-0.4693867180668267,-0.049702577774749235,-0.8899111676566234,-0.5753525536644809
19,Arunachal Pradesh,Dibang Valley,-1.961846225482462,-0.07611668152197311,-1.3963680619783736,1.886372757667574,-1.087994670500559,-0.7034190993402386
20,Arunachal Pradesh,East Kameng,0.2568900738224466,-0.4290609275711681,-1.581764330760683,-1.1797723014664054,-1.5176906328569126,-0.9812296024852427
21,Arunachal Pradesh,East Siang,-1.0531084858735364,-1.5339298717251695,-1.9834562464556864,-1.1963909738736358,-2.9393266524610993,-1.9003572008213092
22,Arunachal Pradesh,Kra Daadi,-0.5574333551777593,-1.4111666557080582,-1.550864952630298,-0.32391067249404804,-2.0282267749971536,-1.3113055514048324
23,Arunachal Pradesh,Kurung Kumey,-0.5102261998733997,-0.5364787415861406,-1.6126637088910678,-0.29067332767958765,-1.606270066243491,-1.038498692989325
24,Arunachal Pradesh,Lohit,-1.0649102746996266,-0.9047683896374744,-1.7156616359923509,-1.1132976118374847,-2.444022575069847,-1.580129209393916
25,Arunachal Pradesh,Longding,-2.091665902569451,0.30751836853149955,-1.622963501601196,-2.284914016547217,-2.76504796084562,-1.7876811339119423
26,Arunachal Pradesh,Lower Dibang Valley,-2.2686927349608,-1.6873838917465587,-2.0452550027164564,-1.1963909738736358,-3.6406498322707455,-2.3537823258370114
27,Arunachal Pradesh,Lower Subansiri,-0.33319936748205065,-1.0889132136631412,-2.210051686078509,-1.1216069480411,-2.4832086075874225,-1.6054640795431867
28,Arunachal Pradesh,Namsai,-0.5692351440038493,-0.950804595643891,-1.2212715859061924,-0.5565720861952712,-1.7027557515018736,-1.1008793972922717
29,Arunachal Pradesh,Papum Pare,-0.45121725574295,-1.4725482637166138,-1.4375672328188867,-1.0385135860049486,-2.2220384764719006,-1.4366102575668978
30,Arunachal Pradesh,Siang,-1.4425675171345045,-0.9968408016503079,-2.137953137107611,-3.4066744040352583,-3.842799678628605,-2.4844778767549145
31,Arunachal Pradesh,Tawang,-0.36860473396032056,-1.7641109017572532,-2.1173535516873545,1.9694661197037253,-1.5393960802750744,-0.995262783609775
32,Arunachal Pradesh,Tirap,0.5991419497790547,-0.7359689676139463,-1.3963680619783736,-1.4539803961857047,-1.496546716586669,-0.9675594670125226
33,Arunachal Pradesh,Upper Siang,-0.36860473396032056,-0.9354591936417521,-1.8083597703835055,-1.2379376548917114,-2.227476287668879,-1.4401259551693513
34,Arunachal Pradesh,Upper Subansiri,0.38670975090943527,-0.981495399648169,-1.066774695254268,-0.4568600517518901,-1.1202252110085145,-0.7242570486336156
35,Arunachal Pradesh,West Kameng,-1.1003156411778965,0.7064988205871108,-1.6641626724417093,0.058318792872247116,-1.1829006587948745,-0.7647784852067784
36,Arunachal Pradesh,West Siang,-1.0649102746996266,-0.5364787415861406,-1.375768476558117,-1.686641809886928,-2.286845587518788,-1.478509874283284
37,Assam,Baksa,0.9059884592573931,-0.2449161035455013,0.4575946258447201,1.0554391373060619,1.020133344221108,0.65954484673056
38,Assam,Barpeta,-0.4394154669168599,0.13871894650797137,-0.3457892055452872,-0.1992706294398212,-0.43610560974367446,-0.2819545201282891
39,Assam,Biswanath,1.083015291648742,1.3049694986705285,1.178580115553701,1.1551511717494436,2.3357495884927815,1.510127683866335
40,Assam,Bongaigaon,1.49607790056189,0.24613676052294362,0.5914919310763876,0.9391084304554508,1.5792861783184444,1.0210528518877307
41,Assam,Cachar,-0.5692351440038493,1.857403970747529,0.8901859196701088,-0.3405293449012785,1.030506047171393,0.6662510903959417
42,Assam,Charaideo,0.6463491050834143,0.7525350265935277,0.5399929675257462,0.3159082151843166,1.132848126595302,0.7324181179419983
43,Assam,Chirang,1.083015291648742,0.13871894650797137,1.0446828103220334,0.3740735686096227,1.378266491383615,0.8910879807654306
44,Assam,Darrang,1.0004027698661122,1.2896240966683894,0.36489649145356556,0.0749374652794776,1.3617891196184144,0.8804348973259326
45,Assam,Dhemaji,0.4339169062137957,-0.045425877517695404,-0.39728816909592873,0.59842564610723,0.18451487000074168,0.11929404361060812
46,Assam,Dhubri,1.767519043561958,0.4456269865507495,0.8489867488295951,0.59842564610723,1.8287731066911075,1.1823531552911664
47,Assam,Dibrugarh,-0.7344601875691084,0.30751836853149955,0.2515987716421541,0.041700120465017816,-0.03715593474661452,-0.024022354946448117
48,Assam,Dima Hasao,-0.3450011563081403,0.7678804285956667,-0.8092798775010606,0.59842564610723,-0.050548175853107113,-0.032680814801717695
49,Assam,Goalpara,0.6345473162573241,0.875298242610639,0.6017917237865161,-0.4319320431410444,0.9263363456304328,0.5989024538417095
50,Assam,Golaghat,-0.8524780758300077,0.09268274050155453,-0.4178877545161852,0.7646123701795325,-0.31864315874465454,-0.20601174786267343
51,Assam,Hailakandi,1.1066188693009216,0.5530448005657218,1.322777213495497,-0.5316440775844261,1.3990882112096974,0.9045498071915098
52,Assam,Hojai,0.6817544715616837,-0.9047683896374744,-0.11919376592246474,-0.7559961550820347,-0.48139126179679775,-0.3112329655508092
53,Assam,Jorhat,0.6109437386051447,-0.47509713357758493,0.375196284163694,0.6815190081433813,0.5664385435116605,0.3662184208358804
54,Assam,Kamrup,-1.2891442623953353,-0.5825149475925572,-1.0152757317036265,0.5818069737000008,-1.2943612723760884,-0.8368409010834448
55,Assam,Kamrup Metro,-0.9586941752648174,-0.060771279519834534,-0.4693867180668267,1.205007188971135,-0.3004038830632654,-0.1942195440768604
56,Assam,Karbi Anglong,-0.22698326804724098,-0.2142252995412236,-0.13979335134272125,0.1331028187047837,-0.24598924223653407,-0.15903895112078278
57,Assam,Karimganj,-0.5220279886994894,4.51215851711756,2.404255448058968,-0.14941461221813093,3.3381553792043634,2.1582111695615143
58,Assam,Kokrajhar,0.12707039673545714,0.2921729665293604,0.5811921383662599,0.7313750253650727,0.8488195540058764,0.5487856718144556
59,Assam,Lakhimpur,0.5873401609529645,-0.060771279519834534,0.4987937966852331,0.28267087036985566,0.6720848808733461,0.4345217439039631
60,Assam,Majuli,0.2214847073441763,-0.6899327616075297,-0.7577809139504191,0.5901163099036154,-0.453665535231055,-0.29330750494128643
61,Assam,Marigaon,1.1420242357791919,-0.38302472156475126,0.09710188099022966,-1.0468229222085639,0.0104132875980526,0.006732482779555348
62,Assam,Nagaon,0.6345473162573241,0.12337354450583224,0.29279794248266716,0.22450551694454957,0.6353513968925931,0.4107725152377212
63,Assam,Nalbari,-0.7108566099169286,-0.4904425355797238,-0.2942902419946457,0.42392958583131296,-0.5926737326177017,-0.38318020713167356
64,Assam,Sivasagar,-0.8760816534821875,0.3842453785421941,-0.3766885836756722,0.1331028187047837,-0.4153652012310073,-0.26854526374910404
65,Assam,Sonitpur,0.374907962083346,-0.8433867816289188,-0.7886802920808041,0.2909802065734715,-0.5915900017290807,-0.38247954468702183
66,Assam,South Salmara Mancachar,0.6345473162573241,-0.060771279519834534,-0.17069272947310624,0.30759887898070076,0.2966702115580259,0.1918056206279159
67,Assam,Tinsukia,-0.08536180213416222,0.4456269865507495,0.272198357062411,0.041700120465017816,0.35697141985551584,0.23079204471603526
68,Assam,Udalguri,0.03265608612673714,0.4149361825464718,0.3030977351927956,0.9723457752699106,0.7889068297678691,0.5100504135772715
69,Assam,West Karbi Anglong,0.8705830927791228,0.7064988205871108,0.1589006372509996,1.0886764821205228,1.2947366567666103,0.8370835976306308
70,Bihar,Araria,1.9327440871272172,0.8139166346020831,1.878966019842425,0.8227777236048386,2.804621802166544,1.8132667333401
71,Bihar,Arwal,1.42526716760535,2.793473492878002,2.404255448058968,-0.008155896756673624,3.5063518787606913,2.266954928550389
72,Bihar,Aurangabad,0.9059884592573931,2.195002814794585,1.9716641542335802,0.20788684453732026,2.7871067160032665,1.801942738408975
73,Bihar,Banka,1.5550868446923396,1.2742786946662503,1.672970165639859,0.9889644476771411,2.785020107819431,1.8005936876377298
74,Bihar,Begusarai,0.5047276391703346,0.36889997654005496,0.622391309206773,0.7147563529578422,1.0875672932039977,0.7031427879196254
