district_id,state_name,district_name,malnutrition_index_pc1,z_malnutrition_index_pc1
1,Andaman And Nicobar Islands,Nicobars,-2.142136192358939,-1.3849511876744791
2,Andaman And Nicobar Islands,North And Middle Andaman,-0.09215865663865236,-0.05958315882130404
3,Andaman And Nicobar Islands,South Andamans,-2.6645931982393667,-1.7227343096738985
4,Andhra Pradesh,Ananthapuramu,0.553292310330594,0.3577190120109382
5,Andhra Pradesh,Chittoor,-1.1177087898234737,-0.7226301116903237
6,Andhra Pradesh,East Godavari,-1.3352484021271915,-0.8632755783515754
7,Andhra Pradesh,Guntur,-1.0007837478115258,-0.6470347894223166
8,Andhra Pradesh,Krishna,-1.0699494567356844,-0.6917523620316355
9,Andhra Pradesh,Kurnool,2.0442748394747037,1.3216810756302946
10,Andhra Pradesh,Prakasam,-1.7745140377805564,-1.1472731439464967
11,Andhra Pradesh,Sri Potti Sriramulu Nellore,-0.4084331240455359,-0.26406348123438095
12,Andhra Pradesh,Srikakulam,-1.4445614288414759,-0.9339495190264326
13,Andhra Pradesh,Visakhapatnam,0.540855565869845,0.3496783075621931
14,Andhra Pradesh,Vizianagaram,0.4019938769525435,0.25990032721038364
15,Andhra Pradesh,West Godavari,-1.196200583429229,-0.7733772598710758
16,Andhra Pradesh,Y.S.R.,-0.6387190886852101,-0.4129498225277728
17,Arunachal Pradesh,Anjaw,-2.029675600273,-1.3122422576206527
18,Arunachal Pradesh,Changlang,-0.8899111676566234,-0.5753525536644809
19,Arunachal Pradesh,Dibang Valley,-1.087994670500559,-0.7034190993402386
20,Arunachal Pradesh,East Kameng,-1.5176906328569126,-0.9812296024852427
21,Arunachal Pradesh,East Siang,-2.9393266524610993,-1.9003572008213092
22,Arunachal Pradesh,Kra Daadi,-2.0282267749971536,-1.3113055514048324
23,Arunachal Pradesh,Kurung Kumey,-1.606270066243491,-1.038498692989325
24,Arunachal Pradesh,Lohit,-2.444022575069847,-1.580129209393916
25,Arunachal Pradesh,Longding,-2.76504796084562,-1.7876811339119423
26,Arunachal Pradesh,Lower Dibang Valley,-3.6406498322707455,-2.3537823258370114
27,Arunachal Pradesh,Lower Subansiri,-2.4832086075874225,-1.6054640795431867
28,Arunachal Pradesh,Namsai,-1.7027557515018736,-1.1008793972922717
29,Arunachal Pradesh,Papum Pare,-2.2220384764719006,-1.4366102575668978
30,Arunachal Pradesh,Siang,-3.842799678628605,-2.4844778767549145
31,Arunachal Pradesh,Tawang,-1.5393960802750744,-0.995262783609775
32,Arunachal Pradesh,Tirap,-1.496546716586669,-0.9675594670125226
33,Arunachal Pradesh,Upper Siang,-2.227476287668879,-1.4401259551693513
34,Arunachal Pradesh,Upper Subansiri,-1.1202252110085145,-0.7242570486336156
35,Arunachal Pradesh,West Kameng,-1.1829006587948745,-0.7647784852067784
36,Arunachal Pradesh,West Siang,-2.286845587518788,-1.478509874283284
37,Assam,Baksa,1.020133344221108,0.65954484673056
38,Assam,Barpeta,-0.43610560974367446,-0.2819545201282891
39,Assam,Biswanath,2.3357495884927815,1.510127683866335
40,Assam,Bongaigaon,1.5792861783184444,1.0210528518877307
41,Assam,Cachar,1.030506047171393,0.6662510903959417
42,Assam,Charaideo,1.132848126595302,0.7324181179419983
43,Assam,Chirang,1.378266491383615,0.8910879807654306
44,Assam,Darrang,1.3617891196184144,0.8804348973259326
45,Assam,Dhemaji,0.18451487000074168,0.11929404361060812
46,Assam,Dhubri,1.8287731066911075,1.1823531552911664
47,Assam,Dibrugarh,-0.03715593474661452,-0.024022354946448117
48,Assam,Dima Hasao,-0.050548175853107113,-0.032680814801717695
49,Assam,Goalpara,0.9263363456304328,0.5989024538417095
50,Assam,Golaghat,-0.31864315874465454,-0.20601174786267343
51,Assam,Hailakandi,1.3990882112096974,0.9045498071915098
52,Assam,Hojai,-0.48139126179679775,-0.3112329655508092
53,Assam,Jorhat,0.5664385435116605,0.3662184208358804
54,Assam,Kamrup,-1.2943612723760884,-0.8368409010834448
55,Assam,Kamrup Metro,-0.3004038830632654,-0.1942195440768604
56,Assam,Karbi Anglong,-0.24598924223653407,-0.15903895112078278
57,Assam,Karimganj,3.3381553792043634,2.1582111695615143
58,Assam,Kokrajhar,0.8488195540058764,0.5487856718144556
59,Assam,Lakhimpur,0.6720848808733461,0.4345217439039631
60,Assam,Majuli,-0.453665535231055,-0.29330750494128643
61,Assam,Marigaon,0.0104132875980526,0.006732482779555348
62,Assam,Nagaon,0.6353513968925931,0.4107725152377212
63,Assam,Nalbari,-0.5926737326177017,-0.38318020713167356
64,Assam,Sivasagar,-0.4153652012310073,-0.26854526374910404
65,Assam,Sonitpur,-0.5915900017290807,-0.38247954468702183
66,Assam,South Salmara Mancachar,0.2966702115580259,0.1918056206279159
67,Assam,Tinsukia,0.35697141985551584,0.23079204471603526
68,Assam,Udalguri,0.7889068297678691,0.5100504135772715
69,Assam,West Karbi Anglong,1.2947366567666103,0.8370835976306308
70,Bihar,Araria,2.804621802166544,1.8132667333401
71,Bihar,Arwal,3.5063518787606913,2.266954928550389
72,Bihar,Aurangabad,2.7871067160032665,1.801942738408975
73,Bihar,Banka,2.785020107819431,1.8005936876377298
74,Bihar,Begusarai,1.0875672932039977,0.7031427879196254
75,Bihar,Bhagalpur,1.668795686294446,1.0789232617252158
76,Bihar,Bhojpur,2.321263154730932,1.5007617977405103
77,Bihar,Buxar,2.501001951800372,1.6169679761153688
78,Bihar,Darbhanga,1.4368388784792294,0.9289566734108178
79,Bihar,Gaya,2.4510283924584737,1.5846586670201952
80,Bihar,Gopalganj,-0.09228416032904409,-0.059664300480590494
81,Bihar,Jamui,1.630497813443329,1.0541626117349125
82,Bihar,Jehanabad,3.0409950371365397,1.9660886657988654
83,Bihar,Kaimur (Bhabua),2.5420523172613376,1.6435081898526798
84,Bihar,Katihar,2.1128033057830193,1.3659866529982294
85,Bihar,Khagaria,1.040699512897576,0.6728414521639532
86,Bihar,Kishanganj,1.4739726415870162,0.952964693770307
87,Bihar,Lakhisarai,2.3957354426328594,1.54891022263829
88,Bihar,Madhepura,1.8152645326055177,1.173619482898925
89,Bihar,Madhubani,1.0217587009949072,0.6605956855158331
90,Bihar,Munger,1.617798191756803,1.0459519497795666
91,Bihar,Muzaffarpur,0.896251636662329,0.5794518448819059
92,Bihar,Nalanda,2.756576984704001,1.7822044100183143
93,Bihar,Nawada,1.6102954343863156,1.0411012065036935
94,Bihar,Pashchim Champaran,0.07428872981869561,0.048029749443676446
95,Bihar,Patna,1.3316983745109332,0.8609803858325601
96,Bihar,Purbi Champaran,1.11964447840227,0.723881588699925
97,Bihar,Purnia,2.2774457737674396,1.4724326307983528
98,Bihar,Rohtas,2.668205695208508,1.725069890383346
99,Bihar,Saharsa,1.8963791000859784,1.2260623280226313
100,Bihar,Samastipur,1.6751604345239646,1.083038250142462
101,Bihar,Saran,2.2106128135933396,1.4292232457466056
102,Bihar,Sheikhpura,1.9533695963211073,1.2629082838159846
103,Bihar,Sheohar,2.331123744522715,1.5071369458716204
104,Bihar,Sitamarhi,1.84692092128247,1.1940862269145567
105,Bihar,Siwan,0.1642476990930626,0.10619074862893756
106,Bihar,Supaul,1.9312479524730612,1.2486060200150426
107,Bihar,Vaishali,1.2740731750483862,0.8237240765837314
108,Chhattisgarh,Balod,0.22877460528352334,0.14790920503904423
109,Chhattisgarh,Balodabazar-Bhatapara,0.8300735321287432,0.5366658423864689
110,Chhattisgarh,Balrampur Ramanujganj,0.47498064960819614,0.30708832479641
111,Chhattisgarh,Bastar,2.4404834829239515,1.5778410869634976
112,Chhattisgarh,Bemetara,-0.14271218199939342,-0.09226743222989159
113,Chhattisgarh,Bijapur,2.6775721391515734,1.731125559350383
114,Chhattisgarh,Bilaspur,0.2599849054974228,0.1680875403396199
115,Chhattisgarh,Dakshin Bastar Dantewada,2.56535601243429,1.6585746830206252
116,Chhattisgarh,Dhamtari,-0.21957503078579016,-0.14196142185318392
117,Chhattisgarh,Durg,-0.22624971507225397,-0.14627679263253224
118,Chhattisgarh,Gariyaband,-0.2225253282490227,-0.14386887199116855
119,Chhattisgarh,Janjgir-Champa,0.699408817632825,0.452187436123705
120,Chhattisgarh,Jashpur,-0.12494910426863703,-0.08078310378816243
121,Chhattisgarh,Kabeerdham,-0.3284055939920728,-0.21232343632521614
122,Chhattisgarh,Kondagaon,1.6938901550370207,1.095147540280921
123,Chhattisgarh,Korba,-0.40230327350246664,-0.2601003607660497
124,Chhattisgarh,Korea,-0.29514894497608796,-0.190822079073957
125,Chhattisgarh,Mahasamund,-0.062209214537158164,-0.04022000368830761
126,Chhattisgarh,Mungeli,-0.3259915216577952,-0.2107626707873312
127,Chhattisgarh,Narayanpur,2.114387921171065,1.3670111513338206
128,Chhattisgarh,Raigarh,-0.15919720653135203,-0.102925463397946
129,Chhattisgarh,Raipur,0.6152136209178857,0.3977528777129095
