model_name,n_obs,num_predictors,r_squared,adj_r_squared,rmse
bivariate_agriculture_yield,376,1,0.09823168895669754,0.09582054374000415,0.9717778920934088
bivariate_sanitation,704,1,0.3558330589931362,0.35491544226805516,0.8026001127628027
bivariate_healthcare_delivery,698,1,0.001896361217564091,0.00046230426529048074,1.000662075404512
bivariate_womens_schooling,704,1,0.32141234713420563,0.32044569805604917,0.8237643187622259
