variable,pc1_loading,explained_variance_ratio
z_stunting_pct,0.4848202415328753,0.5980881975880951
z_wasting_pct,0.48418651900026743,0.5980881975880951
z_underweight_pct,0.6097689510746234,0.5980881975880951
z_anaemia_children_u5_pct,0.39836487611706084,0.5980881975880951
