,z_malnutrition_index_pc1,z_improved_sanitation_pct,z_women_10plus_schooling_pct,z_institutional_deliveries_pct,z_hjg_villages_reported_ratio
Cluster 1 - Low Burden (n=196),-0.7419296842888762,0.8750881117485014,0.9449453270737175,0.3910913556911893,0.754265720694101
Cluster 2 - NE Outlier (n=50),-0.6928710512964833,0.7134881954610792,-0.33276247954796107,-2.7411560534812724,0.2704648495544687
Cluster 3 - High Burden (n=253),-0.046796337802128385,-0.05645271027888892,-0.14803292608322363,0.28436235819096006,-0.7780748457929291
Cluster 4 - Very High Burden (n=182),1.0961099040823346,-1.1114570139057551,-0.8355668142932716,-0.08136149031715102,0.22230489523993066
