district_id,state_name,district_name,z_malnutrition_index_pc1,z_improved_sanitation_pct,z_women_10plus_schooling_pct,z_institutional_deliveries_pct,z_hjg_villages_reported_ratio,cluster,pca1,pca2
1,Andaman And Nicobar Islands,Nicobars,-1.3849511876744791,0.8143112499201524,0.9378026997498058,0.20499105891009198,1.2457375286371022,0,2.043890550620792,-0.26085836828312836
2,Andaman And Nicobar Islands,North And Middle Andaman,-0.05958315882130404,1.0176400801922754,0.053992753104169414,-0.03070071008121719,1.2457375286371022,0,0.9094597368930468,-0.5402179259576313
3,Andaman And Nicobar Islands,South Andamans,-1.7227343096738985,1.2209689104643975,1.2206218826764095,0.5349595354979249,1.2457375286371022,0,2.655266026568064,0.004410513528396813
4,Andhra Pradesh,Ananthapuramu,0.3577190120109382,-0.04107210501774315,-0.6318437654928444,0.5820978892961867,-0.9869282731442947,2,-0.6727483009944193,0.7503189681823211
5,Andhra Pradesh,Chittoor,-0.7226301116903237,0.19030208115398242,0.004499396092013573,0.6009532308154917,1.2419923100706218,0,0.8265402265476041,0.053966133959433914
6,Andhra Pradesh,East Godavari,-0.8632755783515754,0.40765358937590723,0.20954330371380162,0.6009532308154917,-1.1671848563976837,2,0.7071316786567822,0.8030808032394231
7,Andhra Pradesh,Guntur,-0.6470347894223166,0.807299910945252,-0.5399275310416981,0.6009532308154917,-1.1712502885898894,2,0.40188666300553194,0.6061675335328975
8,Andhra Pradesh,Krishna,-0.6917523620316355,0.5058123350245176,0.4216576909087544,0.6009532308154917,-1.2638566479457618,2,0.768384574995477,0.8885969020250674
9,Andhra Pradesh,Kurnool,1.3216810756302946,0.11317735243007424,-0.4833636944563776,0.5726702185365349,-1.4997550868310676,2,-1.1340757770183096,1.0314396133784505
10,Andhra Pradesh,Prakasam,-1.1472731439464967,0.4567329622002129,-0.4055884191515615,0.6009532308154917,-1.1522488120393628,2,0.5558964690284552,0.6178210668049211
11,Andhra Pradesh,Sri Potti Sriramulu Nellore,-0.26406348123438095,0.6951184873468389,-0.10862827707862749,0.5915255600558398,-0.9143213921924899,2,0.40766132466592314,0.6774553205396463
12,Andhra Pradesh,Srikakulam,-0.9339495190264326,-0.020038088093041008,0.16004994670164577,0.6009532308154917,-1.467259850648366,2,0.41588919632863425,0.9354875916106051
13,Andhra Pradesh,Visakhapatnam,0.3496783075621931,0.41466492835080765,0.407516731762424,0.3746891325838343,-1.4169706486407507,2,0.07717391398771391,0.868060817382452
14,Andhra Pradesh,Vizianagaram,0.25990032721038364,-0.7141606466082178,-0.18640355238344358,0.5915255600558398,-1.1701832510298167,2,-0.7947584243583766,0.9973383964555652
15,Andhra Pradesh,West Godavari,-0.7733772598710758,0.6250050975978311,0.4428691296282494,0.6009532308154917,-1.3164887855434388,2,0.885564645465469,0.8834142233704095
16,Andhra Pradesh,Y.S.R.,-0.4129498225277728,0.9475266904432676,-0.0167120426274815,0.5915255600558398,1.2457375286371022,0,1.0817282285343075,-0.026905690102539424
17,Arunachal Pradesh,Anjaw,-1.3122422576206527,1.045685436091878,-0.8086057548219716,-1.152593530479848,1.2457375286371022,1,1.0494614130356925,-1.9069193243222309
18,Arunachal Pradesh,Changlang,-0.5753525536644809,0.7301751822213428,-0.6884076020781652,-1.4731343363080291,1.2457375286371022,1,0.49229534827486265,-2.036288517986822
19,Arunachal Pradesh,Dibang Valley,-0.7034190993402386,1.6206152320337421,0.20954330371380162,-0.8886187492095821,1.2457375286371022,0,1.6313962533406945,-1.4425522018943508
20,Arunachal Pradesh,East Kameng,-0.9812296024852427,0.2604154709029902,-0.5964913676270189,-0.09669440539878403,1.2457375286371022,0,0.6179403751852948,-0.7554223515047872
21,Arunachal Pradesh,East Siang,-1.9003572008213092,0.8423566058197559,1.0862827707862728,0.31812310802592064,1.2457375286371022,0,2.440883148238362,-0.19170626232389712
22,Arunachal Pradesh,Kra Daadi,-1.3113055514048324,1.2209689104643975,-0.9075924688462831,-4.037460782933473,1.2457375286371022,1,0.8428701565472004,-4.562663419725809
23,Arunachal Pradesh,Kurung Kumey,-1.038498692989325,0.44972162322531156,-0.3914474600052311,-1.539128031625596,1.2457375286371022,1,0.747332253127984,-2.0467329795624223
24,Arunachal Pradesh,Lohit,-1.580129209393916,0.8283339278699541,-0.20761499110293916,0.4123998156224443,1.2457375286371022,0,1.5437571012517943,-0.358197516416079
25,Arunachal Pradesh,Longding,-1.7876811339119423,0.8143112499201524,-0.8863810301267877,-3.962039416856254,1.2457375286371022,1,0.8912860193580197,-4.491846550287653
26,Arunachal Pradesh,Lower Dibang Valley,-2.3537823258370114,1.2630369443138028,0.8246750265791642,-0.7849143708534065,1.2457375286371022,0,2.6972611667616397,-1.36182019303778
27,Arunachal Pradesh,Lower Subansiri,-1.6054640795431867,0.7652318770958467,0.6832654351158625,-0.7189206755358397,1.2457375286371022,0,1.916409478377715,-1.1742922187387597
28,Arunachal Pradesh,Namsai,-1.1008793972922717,0.22535877602848634,-1.2752574066508677,-1.9162348620116905,1.2457375286371022,1,0.12818031004819755,-2.564558057823953
29,Arunachal Pradesh,Papum Pare,-1.4366102575668978,0.26742680987789164,0.7256883125548531,0.544387206257578,1.2457375286371022,0,1.6668065269328713,0.06706218855014542
30,Arunachal Pradesh,Siang,-2.4844778767549145,1.3541843509875127,0.7327587921280183,-3.264391780641979,1.2457375286371022,1,2.5548711159528295,-3.653784281520276
31,Arunachal Pradesh,Tawang,-0.995262783609775,0.6881071483719385,-0.07327587921280203,-2.2650586801188286,1.2457375286371022,1,0.9746729899114153,-2.6588568682602203
32,Arunachal Pradesh,Tirap,-0.9675594670125226,1.0386740971169777,-0.002571083481151116,-1.5768387146642047,1.2457375286371022,1,1.2626574878419738,-2.0652177027791194
33,Arunachal Pradesh,Upper Siang,-1.4401259551693513,1.396252384836917,-0.3843769804320664,0.28984009574696384,1.2457375286371022,0,1.6868515623410156,-0.5700956874120097
34,Arunachal Pradesh,Upper Subansiri,-0.7242570486336156,0.6320164365727324,-0.5964913676270189,0.5632425477768817,1.2457375286371022,0,0.7481667174938511,-0.1782715444442861
35,Arunachal Pradesh,West Kameng,-0.7647784852067784,1.192923554564795,0.2378252220064619,0.4123998156224443,1.2457375286371022,0,1.5468259152047605,-0.2080366082935204
36,Arunachal Pradesh,West Siang,-1.478509874283284,1.1087874868659853,0.428728170481919,0.3464061203048775,1.2457375286371022,0,1.9973675148723808,-0.3000780492496576
37,Assam,Baksa,0.65954484673056,-0.20934424041536132,-0.8793105505536226,0.20499105891009198,-1.1279230638868611,2,-1.1355396865006597,0.4571069559903505
38,Assam,Barpeta,-0.2819545201282891,-0.5739338671102021,-0.6035618472001841,-0.7472036878147965,-0.4960138178903739,2,-0.6363575451460537,-0.6031804574382611
